2024-11-10 10:38:05
bvid	title	view
BV11sDUYmEpX	女孩私规-斋藤飞鸟	551
BV1hDDWY9Emh	无论何时都能做出改变-Nevermind	825
BV1CpSBYLEZ3	2024快要到尾声-IU2025新春问候来了	827
BV19iSoYEEmp	被偏见看待，我已经习惯了-IU-二十三岁	10478
BV1fC17YiETa	《继承者们》中秀晶惊人英语	6434
BV1zp1TYgEL5	IU歌曲集锦-IU CONCERT IN WASHINGTON D.C. , ROSEMONT	13347
BV1h514Y7En8	飞鸟面前小花的两面	3487
BV1YFyUYVEBm	人生也有瘫坐的时候——IU	2449
BV1uS1FYzErs	和飞鸟做最想做的事情-与田祐希	4389
BV1saypYxEcq	我在想你-IU-Blueming	1505
BV1BDyLYFEar	事业心十足的秀晶	3687
BV1H9yhYVEJo	我无法全部展示给你-IU-整夜	1453
BV1bHCUYNET2	每一滴答声都离你更近-IU-星期五见面	2328
BV1wryPYqE6J	专注快乐的郑秀晶	4996
BV1gzmMYKEiS	IU-秋天的早晨	1858
BV1NS2oYfENk	IU-Coin —— I'm all-in	1303
BV1g5mjYsEuR	秀晶挺适合红色的，股市也是如此，虽然恋人未满	2718
BV1yc2rYjE7s	IU-你的意义	1757
BV1yC2aYdEon	寂寞的时候，飞鸟来陪	2349
BV1iZ28YBEZf	靠天靠地，可以倚靠你的父母	1992
BV1Tb2UY3EL3	迷茫无力的时候，听听斋藤飞鸟的歌声，挺励志的	1896
BV1Qc2SYEEBK	假闺蜜，真丈夫-不可能的婚礼	1973
BV1rE2VYwEai	股市-整天想着你的一天，我变得贪婪	1898
BV1U12PYDErq	股市韭菜总是如同前男女朋友，不长记性	6681
BV14c2pYeESF	More about Krystal-This or That in HK	2607
BV17G1yYkE8g	山下美月毕业音乐会蓝光碟和DVD涉谷发行纪念展	2714
BV1gZ1BYmEKM	期待村花新片-再见的延续-竖版	78142
BV1eo19YYEDp	两个秀晶的第一次相遇	2678
BV1m34AejE4j	秀晶的飞吻，你能为我做吗？	3316
BV1uW4FerEYN	选择困难的秀晶-This or That with Krystal	5866
BV1cxxQeMEPB	伊藤莎莉 西村力热力舞蹈花絮和采访（中字）	5445
BV1cxxQeMEHz	伊藤莎莉 西村力 热力舞蹈点燃秋天（带花絮版）	81832
BV12x4uecEhu	和你一起吃大福，斋藤飞鸟	2426
BV1wxxhemEEr	Krystal-猜香气game	3297
BV1NcxCepEMY	只是想和你说说话-斋藤飞鸟	4975
BV18HxqeyEqo	互关互赞，冲击LV3	2595
BV1jixMerE79	从 Krystal's bag 了解她	37752
BV1wCsdeEELS	女儿控，爸爸好爱女儿-斋藤飞鸟-竖版	1721
BV1rrxjegEVh	父亲与女儿的相处光景-感人而又富含哲理	2579
BV1XhxVeJE1h	父亲与女儿的相处光景-感人而又富含哲理-竖屏版	3035
BV1sRsaeXEdr	IU-Celebrity-泰国现场版	93177
BV1HasSeaE3A	男友比朋友重要，家人比男友重要，你心目中的优先级？	3310
BV12AtUeVEyJ	郑秀晶（Krystal），今天也是可爱的秀晶	1926
BV1Uv4SejEEC	来我家-金智媛-My house-240622首尔场见面会直拍	3420
BV1zM4fedE2R	看了减肥系列-Krystal郑秀晶经典HOT SUMMER直拍回顾-240913-rebuild	3195
BV1E6HheYEvC	女儿控，爸爸好爱女儿-斋藤飞鸟-我家的英雄2023	89046
BV1LNDUYaER9	立冬，互关互赞	505
BV1FgySYxEFf	双向奔赴的恋爱很甜-致我的解离	905
BV11QyYYpET8	出口夏希，长谷川博己 - 新的世界线 CM+拍摄花絮	3002
BV1a8mLYsEsQ	飞鸟和狮子的第一次相处	1597
BV1EfmLYiEzF	小森家兄弟的平静生活-狮子的藏身处	1119
BV1sh2vYaE3B	山下美月可爱舞蹈	832
BV1Uu2bYpEzG	又快到了结婚扎堆的日子，送给快要结婚的新人	1381
BV1bh2TYZEiu	虚与实的路口-Google AI影像	1443
BV1192PYLEVu	你的旅行将得到扩展-谷歌 Pixel 9	1498
BV1eG2AYsE2X	帰り道は遠回りしたくなる-西野七濑舞台集锦	2640
BV1b22LYSEhk	国庆假期结束了，让大自然的音乐洗涤你疲惫的心灵	897
BV1KD1XYUExj	想和鸵鸟交流就变得跟它一样吧	2715
BV1sH45euENg	Netflix《蓝箱》正式预告剪辑版	2746
BV19A45eHEgd	Netflix《蓝箱》正式预告剪辑竖版	2778
BV1DfxxeUEtM	只用电锯做的木工活，不看完不知道做什么	2722
BV1Xhx1ezEad	今天来相互关注吧	90591
BV1msxqerEdF	诚信互粉，最后冲刺	725
BV1riSJY9E7a	箱爱箱杀📺🎥🎬一箱情缘-Netflix新片预告	1695
BV1CfCQYiEk1	明知道放手就好，但还是忍不住-狮子的藏身处	50522
BV1eMmTYqEtm	互关互助	990
BV18B21YqEyX	爱的表白，来互关吧	1702
BV1nd1qYFEc1	我不是丑小鸭，但也可以变漂亮	2324
BV14u1XY2ELE	趁着假期去你想去的地方	2257
BV16AxDePEvw	蓝色系发色金克丝	2203
BV191xYerE94	互关互赞，国庆走起	2975
BV1AXxieeE16	动画少女幻想	2186
BV1m1xieuEY5	AI美少女图鉴	1968
